"code","ISO3V10","Country","EPI_regions","GEO_subregion","GDPCAP07","Population07","Landarea","PopulationDensity","Landlock","No_surface_water","Desert","High_Population_Density","EPI","ENVHEALTH","ECOSYSTEM","DALY","AIR_H","WATER_H","AIR_E","WATER_E","BIODIVERSITY","FORESTRY","FISHERIES","AGRICULTURE","CLIMATE","DALY_pt","ACSAT_pt","ACSAT_pt_imp","WATSUP_pt","WATSUP_pt_imp","INDOOR_pt","PM10_pt","SO2_pt","NOX_pt","NMVOC_pt","OZONE_pt","WQI_pt","WQI_pt_imp","WQI_pt_GEMS station data","WSI_pt","WATSTR_pt","PACOV_pt","MPAEEZ_pt","AZE_pt","FORGRO_pt","FORCOV_pt","MTI_pt","EEZTD_pt","AGWAT_pt","AGSUB_pt","AGPEST_pt","GHGCAP_pt","GHGCAP_pt_imp","GHGIND_pt","CO2KWH_pt","CO2KWH_pt_imp","DALY_raw","ACSAT_raw","ACSAT_raw_imp","WATSUP_raw","WATSUP_raw_imp","INDOOR_raw","PM10_raw","OZONE_raw","WQI_raw","WQI_raw_imp","WQI_raw_GEMS station data","SO2_raw","NOX_raw","NMVOC_raw","WSI_raw","WATSTR_raw","PACOV_raw","AZE_raw","MPAEEZ_raw","FORGRO_raw","FORCOV_raw","MTI_raw","EEZTD_raw","AGWAT_raw","AGSUB_raw","AGPEST_raw","GHGCAP_raw","GHGCAP_raw_imp","GHGIND_raw","CO2KWH_raw","CO2KWH_raw_imp","DALY_w","ACSAT_w","WATSUP_w","INDOOR_w","PM10_w","OZONE_w","SO2_w","NOX_w","NMVOC_w","WSI_w","WATSTR_w","PACOV_w","AZE_w","MPAEEZ_w","FORGRO_w","FORCOV_w","MTI_w","EEZTD_w","AGWAT_w","AGSUB_w","AGPEST_w","GHGCAP_w","GHGIND_w","CO2KWH_w","DALY_tr","PM10_tr","OZONE_tr","SO2_tr","NOX_tr","NMVOC_tr","WATSTR_tr","MPAEEZ_tr","AGWAT_tr","GHGCAP_tr","GHGIND_tr","CO2KWH_tr","DALY_t","ACSAT_t","WATSUP_t","INDOOR_t","PM10_t","OZONE_t","SO2_t","NOX_t","NMVOC_t","WSI_t","WATSTR_t","PACOV_t","AZE_t","MPAEEZ_t","FORGRO_t","FORCOV_t","MTI_t","EEZTD_t","AGWAT_t","AGSUB_t","AGPEST_t","GHGCAP_t","GHGIND_t","CO2KWH_t","DALY_ttr","PM10_ttr","OZONE_ttr","SO2_ttr","NOX_ttr","NMVOC_ttr","WATSTR_ttr","MPAEEZ_ttr","AGWAT_ttr","GHGCAP_ttr","GHGIND_ttr","CO2KWH_ttr"
"533","ABW","Aruba","Latin America and Caribbean","Caribbean","NA","104176",189.12,"550.84602368866331",0,0,0,1,"NA","NA","NA","NA","NA","100","33.126615230804866","NA","0.23120969261387331","100","92.861864499999996",40,"NA","NA","NA",0,"100",0,"NA","NA","17.631248311283301","17.026430401918301","28.839516049061","100","48.047913800000003",1,"NA","NA","NA","0.305999999999997","0.0068387704555021899","NA","NA","100","100","85.723729000000006","NA",100,0,"NA",0,"NA","NA",0,"NA","NA",0,"100",0,"NA","NA","0","48.047913800000003",1,"NA","27.566208","26.27882","6.3741320000000004","NA","NA","0.030599999999999999","NA","0.000164","NA","0","0.025714999999999998","14.276270999999999","NA",0,0,"NA",0,"NA","NA",0,"NA","NA","100","NA","NA","0","3.3165906747708802","3.2687632915428799","1.85224792491156","NA","NA","0.030599999999999999","NA","0.000163986553470187","NA","0","0.025714999999999998","14.276270999999999","NA",0,0,"NA","NA","NA","NA","NA","0","3.3165906747708802","3.2687632915428799","1.85224792491156","NA","0.000163986553470187","NA","NA","NA","NA",10,100,100,0,20,0,0.01,0.01,0.01,0,0,10,100,10,1,0,0,0,10,0,22,2.5,36.3,10,2.30258509299405,2.99573227355399,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,0,2.39789527279837,2.39789527279837,1.25276296849537,3.61899332664977,2.30258509299405
"4","AFG","Afghanistan","South Asia","South Asia","NA","NA",634924.74,"NA",1,0,1,0,"NA","11.552923224818397","NA","0","35.493398847646183","10.718294051627399","72.027422676734389","57.429917104755845","3.1087500000000077","22.625891446345253","NA",39.5914422602884,"NA","0","21.436588103254799",0,"0",0,"9.1684210526315706","61.818376642660802","80.494624120987993","92.988549793961496","58.796428518362497","38.895685385118398","44.77236371",1,"NA","100","40.174940999023399","4.1450000000000102","NA","0","41.674799999999998","3.5769828926905101","NA","NA","47.957211301441902",100,0,"93.331872817391798",1,"100","NA",0,"255","30",0,"22",0,"86.290000000000006","41.268476","183308","44.77236371",1,"NA","0.065268000000000007","0.019452000000000001","0.42055700000000001","0","11.279999999999999","0.41449999999999998","0","NA","0.85418700000000003","-3.1000000000000001","NA","NA","35.140000000000001",0,0,"3.1511800000000001",1,"0","NA",0,"5.3889047970071404","30","42","86.290000000000006","3.72009891553237","12.118928532458799","-2.7292534087533098","-3.9398053864406002","-0.86617525584240196","0","2.5079719227189998","0.41449999999999998","0","NA","0.85418700000000003","-3.1000000000000001","NA","NA","3.58740028516408",0,0,"1.4233926311758001","0","NA","5.5412635451584302","3.72009891553237","12.118928532458799","-2.7292534087533098","-3.9398053864406002","-0.86617525584240196","2.5079719227189998","NA","3.58740028516408","1.4233926311758001","0","NA",10,100,100,0,20,0,0.01,0.01,0.01,0,0,10,100,10,1,0,0,0,10,0,22,2.5,36.3,10,2.30258509299405,2.99573227355399,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,0,2.39789527279837,2.39789527279837,1.25276296849537,3.61899332664977,2.30258509299405
"24","AGO","Angola","Sub-Saharan Africa","Southern Africa","4875.3579099999997","17554585",1251895.62,"14.022403081816037",0,0,0,0,"36.3483791805902","18.291835828482636","54.404922532680501","0","43.467084015970144","29.7002592979604","40.127483889489952","64.757234721772278","58.425936452936","94.7901800933126","86.737020159536499",54.5454545454545,"53.846519122696748","0","43.883277216610502",0,"15.517241379310301",0,"49.747368421052599","37.186799610887697","56.462889681722402","40.770505472016097","30.605728819756401","0","51.83941548",1,"NA","100","55.350107927089098","98.367999999999995","36.967745811744003","0","95.801199999999994","93.779160186625205","98.960999319072997","74.513041000000001","100",100,9.09090909090909,"37.848100328972997",0,"100","39.689875832840997",0,"288","50",0,"51",0,"47.740000000000002","65.851318000000006","1364330004.48","51.83941548",1,"NA","0.65835100000000002","2.7608109999999999","5.4301890000000004","0","5.5","9.8368000000000002","0","1.4264950000000001","0.98950300000000002","-0.20000000000000001","-0.00035399999999999999","25.486958999999999","0.14099999999999999",0,2,"16.169906000000001",0,"16.066766999999999","153.40299999999999",0,"5.3889047970071404","50","51","47.740000000000002","4.1873994431750203","19.833179717078899","-0.41801705523205102","1.0155244771460801","1.6919739399699401","0","1.87180217690159","9.8368000000000002","0","0.88644782927992705","0.98950300000000002","-0.20000000000000001","-0.00035399999999999999","25.486958999999999","0.131905070879939",0,2,"2.8431582002292801","2.8371331222663199","5.0330684454563999","5.6629604801359497","4.1873994431750203","21.033929306606499","-0.41801705523205102","1.0155244771460801","1.6919739399699401","1.87180217690159","0.88644782927992705","0.131905070879939","2.8431582002292801","2.8371331222663199","5.0330684454563999",10,100,100,0,20,0,0.01,0.01,0.01,0,0,10,100,10,1,0,0,0,10,0,22,2.5,36.3,10,2.30258509299405,2.99573227355399,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,0,2.39789527279837,2.39789527279837,1.25276296849537,3.61899332664977,2.30258509299405
"660","AIA","Anguilla","Latin America and Caribbean","Caribbean","NA","NA",82.83,"NA",0,0,1,1,"NA","NA","NA","NA","NA","NA","86.536730572140385","NA","0.25861014136339749","100","NA",40,"NA","NA","NA",0,"NA",0,"NA","NA","100","66.432367790141697","52.7880156427006","100","NA",0,"NA","NA","NA","0","1.03444056545359","NA","NA","100","NA","95.290173999999993","NA",100,0,"NA",0,"NA","NA",0,"NA","NA",0,"NA",0,"NA","NA","0","NA",0,"NA","0.00010900000000000001","0.241785","0.72546299999999997","NA","NA","0","NA","0.025114999999999998","NA","0","NA","4.7098259999999996","NA",0,0,"NA",0,"NA","NA",0,"NA","NA","NA","NA","NA","0","-9.1241626757351302","-1.41970637746513","-0.32094520726922399","NA","NA","0","NA","0.024804801418920702","NA","0","NA","4.7098259999999996","NA",0,0,"NA","NA","NA","NA","NA","0","-9.1241626757351302","-1.41970637746513","-0.32094520726922399","NA","0.024804801418920702","NA","NA","NA","NA",10,100,100,0,20,0,0.01,0.01,0.01,0,0,10,100,10,1,0,0,0,10,0,22,2.5,36.3,10,2.30258509299405,2.99573227355399,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,0,2.39789527279837,2.39789527279837,1.25276296849537,3.61899332664977,2.30258509299405
"8","ALB","Albania","Eastern Europe and Central Asia","Central Europe","6811.3815000000004","3132458",28346.12,"110.50746980539135",0,0,0,0,"71.424484951252296","69.925414303622134","72.9235555989045","65.502253845964105","52.966858102613749","95.730291419946596","49.161562227610851","91.235970530000003","77.02173458931945","100","62.540491000000003",54.5454545454545,"68.972455114661031","65.502253845964105","96.632996632996594",0,"94.827586206896598",0,"47.368421052631597","58.565295152595901","56.640529600856603","51.141152229830901","41.626945235032601","32.279687098231797","82.471941060000006",0,"82.471941060000006","100","100","96.278999999999996","19.249938357277799","NA","100","100","100","25.080981999999999","100",100,9.09090909090909,"70.482415310790302",1,"66.9152253370994","68.009764499964106",0,"29","97",0,"97",0,"50","43.895643999999997","680844.95999999996","82.471941060000006",0,"82.471941060000006","0.64719899999999997","1.0318799999999999","1.9974270000000001","0","0","9.6279000000000003","NA","0.58660000000000001","1.03562","0.59999999999999998","0.018862","74.919017999999994","2.5409999999999999",0,2,"6.4490299999999996",1,"72.759473999999997","42.559899999999999",0,"3.3672958299864701","97","97","50","3.7818150896454199","13.431091362775801","-0.43510145835647801","0.0313823812286683","0.69185985230837999","0","0","9.6279000000000003","NA","0.461593361885765","1.03562","0.59999999999999998","0.018862","74.919017999999994","1.26440917312977",0,2,"2.0080838225722601","4.3008094479864702","3.75091249540657","3.3672958299864701","3.7818150896454199","13.431091362775801","-0.43510145835647801","0.0313823812286683","0.69185985230837999","0","0.461593361885765","1.26440917312977","2.0080838225722601","4.3008094479864702","3.75091249540657",10,100,100,0,20,0,0.01,0.01,0.01,0,0,10,100,10,1,0,0,0,10,0,22,2.5,36.3,10,2.30258509299405,2.99573227355399,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,0,2.39789527279837,2.39789527279837,1.25276296849537,3.61899332664977,2.30258509299405
"20","AND","Andorra","Europe","Western Europe","NA","82180",463.79,"177.19226374005476",1,0,0,1,"NA","90.206109185430904","NA","84.771388763302895","91.281659215117799","100","52.412463452773252","NA","57.161000000000001","100","NA",40,"NA","84.771388763302895","100",0,"100",0,"94.736842105263193","87.826476324972404","60.829944929291102","31.047066293470198","44.098147173935999","56.839732461360001","51.172491520000001",1,"NA","NA","NA","57.161000000000001","NA","NA","NA","100","NA","NA","NA",100,0,"NA",0,"NA","NA",0,"16","100",0,"100",0,"5","25.195957","5217.96","51.172491520000001",1,"NA","0.43256800000000001","6.946574","1.5961780000000001","NA","NA","5.7161","NA","NA","NA","0","NA","NA","NA",0,0,"NA",0,"NA","NA",0,"2.7725887222397798","100","100","5","3.2266835451381302","8.5600534273105406","-0.83801573953529995","1.9382485883967999","0.46761202163079602","NA","NA","5.7161","NA","NA","NA","0","NA","NA","NA",0,0,"NA","NA","NA","2.7725887222397798","3.2266835451381302","8.5600534273105406","-0.83801573953529995","1.9382485883967999","0.46761202163079602","NA","NA","NA","NA","NA","NA",10,100,100,0,20,0,0.01,0.01,0.01,0,0,10,100,10,1,0,0,0,10,0,22,2.5,36.3,10,2.30258509299405,2.99573227355399,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,0,2.39789527279837,2.39789527279837,1.25276296849537,3.61899332664977,2.30258509299405
"530","ANT","Netherlands Antilles","Latin America and Caribbean","Caribbean","NA","191328.78482270701",818.07,"233.8782559227291",0,0,1,0,"NA","NA","NA","NA","79.040684203518794","NA","18.194570297197853","NA","52.051861722938639","100","68.272907323135101",40,"NA","NA","NA",0,"NA",0,"NA","79.040684203518794","0","0","9.1674217831871196","100","48.395441040000001",1,"NA","NA","NA","99.352000000000004","9.5034468917545496","0","NA","100","61.055084646270203","75.490729999999999","NA",100,0,"NA",0,"NA","5.5811435083043399",0,"NA","NA",0,"NA",0,"NA","29.765920000000001","0","48.395441040000001",1,"NA","184.437521","182.06104500000001","37.992207000000001","NA","NA","9.9352","0","0.255938","NA","0","-0.013269","24.509270000000001","NA",0,0,"NA",0,"NA","718.6028",0,"NA","NA","NA","NA","3.3933641149131701","0","5.0122644580337496","4.8845185373870299","3.6373810597474501","NA","NA","9.9352","0","0.22788270377028599","NA","0","-0.013269","24.509270000000001","NA",0,0,"NA","NA","6.5773087711371803","NA","3.3933641149131701","0","5.2173107665628597","5.2043420429266503","3.6373810597474501","NA","0.22788270377028599","NA","NA","NA","6.5773087711371803",10,100,100,0,20,0,0.01,0.01,0.01,0,0,10,100,10,1,0,0,0,10,0,22,2.5,36.3,10,2.30258509299405,2.99573227355399,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,0,2.39789527279837,2.39789527279837,1.25276296849537,3.61899332664977,2.30258509299405
"784","ARE","United Arab Emirates","Middle East and North Africa","Arabian Peninsula","51586.216130000001","4364746.2753114197",74776.6,"58.370483216827452",0,1,1,0,"40.6704204467","81.285614207080272","0.055226686300000001","89.097946133587399","48.630066244647985","98.316498316498297","33.999761732663366","5.2657185697190574","1.17018044077118","100","50",39.0909090909091,"20.583712818835053","89.097946133587399","96.632996632996594",0,"100",0,"94.736842105263193","2.5232903840327801","25.7860537071953","24.453036956559199","18.860879790483398","83.326492527351704","NA",0,"NA","1.4210854715202001e-14","10.531437139438101","0","4.68072176308472","NA","100","100","100","0","0",100,18.1818181818182,"0.89869196135055096",1,"78.169667272034005","2.36780008060511",0,"14","97",0,"100",0,"5","127.106055","26.300000000000001","NA",0,"NA","12.582508000000001","12.987683000000001","15.764391","12.793063","41.549999999999997","0","NA","0.11878","1.004418","0.10000000000000001","0.011646","100","974.11764700000003",0,4,"43.196731",1,"57.491191999999998","831.13300000000004",0,"2.6390573296152602","97","100","5","4.8450218167144898","3.3068867021909099","2.5323075954718699","2.5640014467976799","2.7577536623745602","0.73060900000000195","3.7506798550193801","0","NA","0.11223880588985299","1.004418","0.10000000000000001","0.011646","100","4.6835241603192799",0,4,"3.7886508270725101","4.0688761787993304","6.7227898301838902","2.6390573296152602","4.8450218167144898","3.3068867021909099","2.5323075954718699","2.5640014467976799","2.7577536623745602","3.7506798550193801","0.11223880588985299","6.8825581273083296","3.7886508270725101","4.0688761787993304","6.7227898301838902",10,100,100,0,20,0,0.01,0.01,0.01,0,0,10,100,10,1,0,0,0,10,0,22,2.5,36.3,10,2.30258509299405,2.99573227355399,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,0,2.39789527279837,2.39789527279837,1.25276296849537,3.61899332664977,2.30258509299405
"32","ARG","Argentina","Latin America and Caribbean","South America","12501.62283","39503466.047738902",2736296,"14.436839452946209",0,0,0,0,"61.046769441826399","74.493587162366296","47.5999517212528","71.633893396865503","63.205342768308199","91.501219087425994","48.23661617679447","72.908384235335376","31.245926481113287","82.806160186625192","48.081961218777153",95.4545454545455,"49.578850578189602","71.633893396865503","89.898989898989896",0,"93.103448275862107",0,"94.736842105263193","31.673843431353198","59.136094879967303","54.4509011747719","50.420059080247903","7.1404521658451001","84.265346719999997",0,"84.265346719999997","100","23.1028435013415","38.991999999999997","6.9997059244531501","40","78.054000000000002","87.558320373250396","78.641785437554304","17.522137000000001","100",100,90.9090909090909,"39.683862433662803",0,"97.590671477394906","21.3570059680379",0,"24","91",0,"96",0,"5","73.111748000000006","99632701.439999998","84.265346719999997",0,"84.265346719999997","0.5091","0.75374399999999997","0.89936499999999997","0","24.120000000000001","3.8992","40","0.182754","0.94513499999999995","-0.40000000000000002","-0.0072769999999999996","82.477862999999999","2.6429999999999998",0,20,"15.382",0,"38.198760999999998","351.80309999999997",0,"3.1780538303479502","91","96","5","4.2919890651973596","18.4170010064148","-0.67511081807384699","-0.28270249117142898","-0.106066320234842","0","3.2236643416000001","3.8992","40","0.16784561747224999","0.94513499999999995","-0.40000000000000002","-0.0072769999999999996","82.477862999999999","1.29280751802643",0,20,"2.7961831710934102","3.66864513915404","5.8630716440895299","3.1780538303479502","4.2919890651973596","18.4170010064148","-0.67511081807384699","-0.28270249117142898","-0.106066320234842","3.2236643416000001","0.16784561747224999","1.29280751802643","2.7961831710934102","3.66864513915404","5.8630716440895299",10,100,100,0,20,0,0.01,0.01,0.01,0,0,10,100,10,1,0,0,0,10,0,22,2.5,36.3,10,2.30258509299405,2.99573227355399,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,0,2.39789527279837,2.39789527279837,1.25276296849537,3.61899332664977,2.30258509299405
"51","ARM","Armenia","Eastern Europe and Central Asia","Eastern Europe","5261.3151099999995","3072450",28272.73,"108.67185446895294",1,0,0,0,"60.443640895588999","71.626878730713855","49.260403060477898","62.3126920943008","68.656773715793349","93.225357018460443","61.957372581759344","50.522378759999995","55.338749999999997","63.023650699844495","NA",92.840687049379,"49.845658204667103","62.3126920943008","89.898989898989896",0,"96.551724137931004",0,"94.736842105263193","42.576705326323498","59.5186835438573","49.510677329863597","43.677507529120597","100","51.044757519999997",1,"NA","100","0","73.784999999999997","NA","0","72.703599999999994","53.343701399689003","NA","NA","64.203435246894998",100,100,"39.403899136080803",1,"82.288471208652297","38.286363337854503",0,"32","91",0,"98",0,"5","59.450515000000003","0","51.044757519999997",1,"NA","0.49070799999999998","1.2045539999999999","1.658283","0","68.609999999999999","7.3784999999999998","0","NA","0.931759","-1.5","NA","NA","23.93",0,22,"15.499781",1,"52.731274999999997","163.46700000000001",0,"3.4657359027997301","91","98","5","4.0851442858410696","0","-0.71190603277890696","0.186109373948319","0.50578272972302796","0","4.1921762629236303","7.3784999999999998","0","NA","0.931759","-1.5","NA","NA","3.2160718975354698",0,22,"2.80334710809118","3.9839952342190901","5.0966111351035304","3.4657359027997301","4.0851442858410696","0","-0.71190603277890696","0.186109373948319","0.50578272972302796","4.2429082351805798","NA","3.2160718975354698","2.80334710809118","3.9839952342190901","5.0966111351035304",10,100,100,0,20,0,0.01,0.01,0.01,0,0,10,100,10,1,0,0,0,10,0,22,2.5,36.3,10,2.30258509299405,2.99573227355399,0,-4.60517018598809,-4.60517018598809,-4.60517018598809,0,2.39789527279837,2.39789527279837,1.25276296849537,3.61899332664977,2.30258509299405
